sample,mae,sam,psnr,ssim
ROIs1868_summer_s2_121_p189,0.02084488980472088,0.10355357825756073,29.447357177734375,0.8075944185256958
ROIs1868_summer_s2_73_p699,0.013036909513175488,0.0662832111120224,34.28120422363281,0.9312767386436462
ROIs2017_winter_s2_108_p616,0.03970318287611008,0.40805864334106445,26.62820816040039,0.6778133511543274
ROIs1158_spring_s2_132_p822,0.01859152875840664,0.09019820392131805,31.01212501525879,0.8198206424713135
ROIs1868_summer_s2_127_p718,0.021504752337932587,0.035899799317121506,30.923799514770508,0.9352832436561584
ROIs1970_fall_s2_57_p538,0.007651966530829668,0.04827110469341278,39.606754302978516,0.9622892737388611
ROIs1970_fall_s2_144_p179,0.0211016908288002,0.12698481976985931,29.369110107421875,0.7958626747131348
ROIs1970_fall_s2_41_p546,0.003497777273878455,0.06873153150081635,43.404029846191406,0.9784440398216248
ROIs2017_winter_s2_22_p630,0.02143939770758152,0.08644251525402069,30.26859474182129,0.8934961557388306
ROIs1970_fall_s2_71_p316,0.015876660123467445,0.08423779904842377,31.495468139648438,0.9202282428741455
ROIs1970_fall_s2_135_p127,0.012575839646160603,0.08654733002185822,34.78285217285156,0.9051591753959656
ROIs1158_spring_s2_75_p46,0.008926482871174812,0.057181958109140396,37.47136688232422,0.9564311504364014
ROIs2017_winter_s2_8_p152,0.055348433554172516,0.0484645813703537,23.297359466552734,0.9493702054023743
ROIs1868_summer_s2_90_p474,0.0141651201993227,0.04718386009335518,31.903812408447266,0.9280734658241272
ROIs1158_spring_s2_58_p309,0.0077764494344592094,0.03726644441485405,38.594818115234375,0.9620575904846191
ROIs1158_spring_s2_21_p562,0.007502276450395584,0.05816619470715523,38.820960998535156,0.9552823901176453
ROIs1868_summer_s2_119_p777,0.02597210183739662,0.11788211762905121,28.22079086303711,0.7658306360244751
ROIs1868_summer_s2_126_p603,0.030631672590970993,0.14267794787883759,25.979358673095703,0.7435758113861084
ROIs1970_fall_s2_57_p824,0.009136907756328583,0.05192430317401886,37.97639083862305,0.9489966034889221
ROIs2017_winter_s2_62_p407,0.011247081682085991,0.06488019973039627,35.23193359375,0.9306422472000122
ROIs1868_summer_s2_119_p225,0.02574949711561203,0.10090834647417068,28.027368545532227,0.8203436136245728
ROIs1868_summer_s2_125_p198,0.020505446940660477,0.0802096277475357,28.17435646057129,0.8464034199714661
ROIs1970_fall_s2_107_p357,0.013930726796388626,0.08417576551437378,33.274112701416016,0.8964512348175049
ROIs1970_fall_s2_41_p356,0.019293606281280518,0.140524223446846,30.780475616455078,0.8433017134666443
ROIs1868_summer_s2_15_p513,0.0117306187748909,0.07314294576644897,35.04837417602539,0.9405813813209534
ROIs1970_fall_s2_1_p339,0.01633606292307377,0.07233236730098724,33.40342330932617,0.918849527835846
ROIs1970_fall_s2_122_p758,0.019243180751800537,0.09232832491397858,30.238428115844727,0.8262931108474731
ROIs1970_fall_s2_122_p722,0.029635675251483917,0.3769342005252838,29.779827117919922,0.6893838047981262
ROIs1868_summer_s2_139_p444,0.02625415474176407,0.07298926264047623,28.056917190551758,0.8060951828956604
ROIs1868_summer_s2_119_p765,0.017907429486513138,0.10972847044467926,31.349855422973633,0.8593855500221252
ROIs1970_fall_s2_133_p187,0.010906379669904709,0.07887104153633118,36.18682098388672,0.9368605613708496
ROIs1868_summer_s2_19_p162,0.01322722528129816,0.054879847913980484,34.679996490478516,0.9424490332603455
ROIs1868_summer_s2_86_p666,0.010789083316922188,0.051379527896642685,35.90252685546875,0.9511539340019226
ROIs1970_fall_s2_3_p338,0.015191290527582169,0.12337777763605118,32.5089111328125,0.8789871335029602
ROIs1158_spring_s2_21_p781,0.009095074608922005,0.08540396392345428,36.67306137084961,0.9463104009628296
ROIs1970_fall_s2_27_p503,0.009095562621951103,0.09698112308979034,36.83851623535156,0.9391579031944275
ROIs2017_winter_s2_47_p818,0.013728270307183266,0.05119333043694496,34.427974700927734,0.9528517723083496
ROIs2017_winter_s2_146_p562,0.01088322140276432,0.07467909157276154,35.54808807373047,0.9383529424667358
ROIs1970_fall_s2_85_p400,0.012182526290416718,0.0641244426369667,35.503604888916016,0.9149211049079895
ROIs1970_fall_s2_91_p105,0.021493636071681976,0.12052197754383087,29.57400131225586,0.8514552712440491
ROIs1970_fall_s2_142_p538,0.02130269445478916,0.12584611773490906,28.979772567749023,0.7863082885742188
