phase,epoch,step,elapsed_s,loss,mae,mse
train,0,15300,437.5,0.113285,,
train,0,15400,440.3,0.107862,,
train,0,15500,443.2,0.116050,,
train,0,15600,446.0,0.110927,,
train,0,15700,448.8,0.119053,,
train,0,15800,451.7,0.118691,,
train,0,15900,454.5,0.109304,,
train,0,16000,457.4,0.103531,,
train,0,16100,460.2,0.115012,,
train,0,16200,463.0,0.109729,,
train,0,16300,465.9,0.119488,,
train,0,16400,468.7,0.107894,,
train,0,16500,471.5,0.116747,,
train,0,16600,474.4,0.104920,,
train,0,16700,477.2,0.111015,,
train,0,16800,480.0,0.108546,,
train,0,16900,482.9,0.112020,,
train,0,17000,485.7,0.112306,,
train,0,17100,488.5,0.112395,,
train,0,17200,491.4,0.110307,,
train,0,17300,494.2,0.107420,,
train,0,17400,497.0,0.121705,,
train,0,17500,499.9,0.108852,,
train,0,17600,502.7,0.116186,,
train,0,17700,505.6,0.110046,,
train,0,17800,508.4,0.106574,,
train,0,17900,511.2,0.105473,,
train,0,18000,514.1,0.107664,,
train,0,18100,516.9,0.116851,,
train,0,18200,519.7,0.108501,,
train,0,18300,522.6,0.108954,,
train,0,18400,525.4,0.108931,,
train,0,18500,528.3,0.112083,,
train,0,18600,531.1,0.110530,,
train,0,18700,533.9,0.113243,,
train,0,18800,536.8,0.112444,,
train,0,18900,539.6,0.113237,,
train,0,19000,542.4,0.108218,,
train,0,19100,545.3,0.113580,,
train,0,19200,548.1,0.100120,,
train,0,19300,550.9,0.109126,,
train,0,19400,553.8,0.103805,,
train,0,19500,556.6,0.110301,,
train,0,19600,559.4,0.109921,,
train,0,19700,562.3,0.108987,,
train,0,19800,565.1,0.108269,,
train,0,19900,567.9,0.110824,,
train,0,20000,570.8,0.111292,,
train,0,20100,573.6,0.108266,,
train,0,20200,576.4,0.111761,,
train,0,20300,579.3,0.107408,,
train,0,20400,582.1,0.107823,,
train,0,20500,584.9,0.109984,,
train,0,20600,587.8,0.119161,,
train,0,20700,590.6,0.105765,,
train,0,20800,593.4,0.102887,,
train,0,20900,596.3,0.110619,,
train,0,21000,599.1,0.101811,,
train,0,21100,601.9,0.115291,,
train,0,21200,604.8,0.101212,,
train,0,21300,607.6,0.101255,,
train,0,21400,610.4,0.107388,,
train,0,21500,613.3,0.109476,,
train,0,21600,616.1,0.105375,,
train,0,21700,618.9,0.103014,,
train,0,21800,621.8,0.100062,,
train,0,21900,624.6,0.110204,,
train,0,22000,627.4,0.116911,,
train,0,22100,630.3,0.104134,,
train,0,22200,633.1,0.108397,,
train,0,22300,635.9,0.102903,,
train,0,22400,638.8,0.114078,,
train,0,22500,641.6,0.108979,,
